Iteration,P,R,F1,P,R,F1,P,R,F1,P,R,F1,P,R,F1
1,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
2,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
3,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
4,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
5,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
6,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
7,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
8,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
9,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
10,0.7582089552238805,0.6725507502206531,0.7128157156220768,0.8568142610695803,0.873900293255132,0.8652729384436703,0.7194029850746269,0.589242053789731,0.6478494623655914,0.7452830188679245,0.6,0.664796633941094,0.8023529411764706,0.8646592709984152,0.8323417238749047
