,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
10,gp:AOqpTOEGzOxob9f6FKMQynmKhZm0Z9Cok3kKVUnFmoL3QpR2yF3KP_RtUMxAldvaIWOHexHtSElqMmHkHV6wrg,Tom Thomas,https://lh3.googleusercontent.com/-5RlPqyUtaGw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBWZY3cS_NEgDEwQQJFnkMjtYN6w/photo.jpg,"This app is under rated. It has good features for drawing, allows layers and doesn't have alot of invasive, unnecessary permissions. It was also easy to export my pics from the app to my device folder. I'm glad I found it.",5,7,2.4.1,2020-01-01 00:44:55,,
11,gp:AOqpTOH4vZfWvQUMHi2dj6qYyrIW2Ck5Q_KG2yrmYpm7jKZCuRWzcWxKiZhC_Pxzi_HnOGXg84qhWmAVQNtKww,Ryan Haskin,https://lh3.googleusercontent.com/-Zg4ZGq_NUI0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1QD9XWhD281dH0GFY3JAxjzdr7g/photo.jpg,"incredible. one thing i would like to be improved is the option to stop the camera from scrolling to follow your finger, it can lead to messy or overly long lines. when you move your finger too close to the edge of the screen, i would like it for the picture to stay still. thats my only complaint though, great app, perfect for drawing a good amount of detail!",5,16,2.1.2,2018-12-04 08:54:02,,
12,gp:AOqpTOEKpUSOzKUoJfOTqb4XVr0y84zcXUMZ9Vdff6v2G3XPteR6_SKMPfDm8g9QSwhXCNIXcJe6H-78Omc7ww,Rob Ot,https://lh3.googleusercontent.com/a-/AOh14GgrvCULYNPoMISXM97iJWcPk2S21_uLfGB_3noN9w,"Small, compact, smart & usefull... if you know what you're doing 😈",5,2,2.4.1,2020-05-10 18:53:42,,
13,gp:AOqpTOGYWmuMyFLh5t13cK5larbtOYrnURYOj93d0qQcZWEElmFfRuLTlSoCAKBwpx5Od1usWo_WdshrQc_nEg,Aesthetic,https://lh3.googleusercontent.com/a-/AOh14Gj0-BH1tHy9hjI57FVuCsbkAAvf-Yg2UE_9NhJebQ,Great way to edit in a way of photoshop! I like the wide verity and nice features easy to use and fun to use too! I suggest this app if your into editing and drawing!! =D,5,5,,2019-12-10 22:40:40,,
14,gp:AOqpTOHIn6_H_XeSBeC9LDZUkSDAN0t9IrxBN6NDhYCSHtX62_RzlVYt9WDHBsX2qcdXm0pDrwInpCb5Hvh-Kg,Courieranida,https://lh3.googleusercontent.com/a-/AOh14Gite956YYrt8Lz2eg-T3lh1LBSp82HkDOXuVZyw,"Newest update ruined it. I can no longer drag the resize tool to the correct point that I need it to be, as it keeps going back to the original position. No problem, just use the numbers, right? Wrong. Numbers do the same thing. Last update was perfect, and now it's ruined. Please, just revert it back! I can't deal with this! It's impossible to sprite now! I recommend you stop updating the app, as each update just makes it worse. Please, just revert it, and don't make any more updates.",4,4,2.3.2,2019-06-10 02:41:50,,
15,gp:AOqpTOHZIViaSLE9OTChgsIy9m1yqGp3PDjCp_TIwopRPh3tIRdSOZMhEvwjmxuG18dUik4_VAfHisV7Bxo8gA,Makara,https://lh3.googleusercontent.com/a-/AOh14GiG5VLRJ2TsSAQEZxXocVceYSqL2B2Mj7wVAZ07pfo,"I'm honestly surprised by this app. It works. You can tell that there is work out into it. That alone isn't special, however it does not have ads, in-app-purchases of any kind or even network access to grab your personal data. I expected I'd have to block network access. But I did not. Good app, worked fine for my purposes so far. Highly recommend. Would consider donating if the option was given.",5,16,2.4.1,2019-10-01 08:49:18,,
16,gp:AOqpTOGb0g4W9oyWAuKTK-zpIOcQ7oRQrMrr1Xa9KzjQoRV6bSPzYWQY-IdZxIW1f89XsEsa0wL8aaPDpcNRKA,Maruti M,https://lh3.googleusercontent.com/-u3oSDzoz5hI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIXdh4lnlv5aFz7_x7lDBV_LRnmA/photo.jpg,Stamp feature is nice. Readymade stamps please! Even otherwise a very capable app.,5,2,2.4.1,2020-02-20 05:00:24,"Thanks! We are working on adding a lot of stamps and backgrounds, will be added hopefully soon. Please note that we are just pro-bono volunteers working in our free time on this free open source non-profit project... any help, e.g., as a developer would be highly appreciated. Thanks!",2020-04-26 12:37:56
17,gp:AOqpTOGzrRRmEXTRrSz-W6H3DtfNqoemagSdaLRz3qF5TSRq_rIWxZOmjcjjpu1nJksi1a7z3UCbLIJVWm-yRQ,Aileen Reinstadler,https://lh3.googleusercontent.com/a-/AOh14Gi3reWGPMjpfm4F5sJDSGLUu5PvEMzmiPH-pLTJFA,"Exactly what I was looking for....just a simple, straight forward 'draw/write on photo' app. It's not fancy or complicated at all, but it does offer you some basic options such as color, brush size and shape, etc. It also has a background eraser, which is handy. And it's a tiny app, too. A+ app😊",5,16,2.3.1,2019-04-09 21:48:11,,
18,gp:AOqpTOGRd3MoMqk8f6q_QXmM9AxwYtxy3WeWB5wdfBFytM0qIIgyb_mkT3gfgYbteoO1HUrtIGTax-uWO1n1NA,Figure Player,https://lh3.googleusercontent.com/a-/AOh14GgT_TiDzccfWpZtVuxRdbL9FYKnFrpfVEySPDmRHA,Amazing paint/photo editing app! Ad free and has many excellent tools. Perfect alternative to Microsoft Paint. My main issue is the tools at the bottom are a little unorganized and a little tricky to navigate. Would be cool if it had a feature to organize the tools yourself. Also the resize tool can only shrink an image and not grow them. Please add this in a future update! Otherwise it's an outstanding app!,5,16,,2019-08-17 01:04:08,,
19,gp:AOqpTOGlnNgrINvj_RvagdtysYcwKovtENQ-elUFq4jTFvSYwgwxn30Ll85_Ov_Am6gjqSLIvTLv9nrn9hmuCA,Ryan Holyoak,https://lh3.googleusercontent.com/a-/AOh14GgakbNDd51gvFWJEahFSeY6JBa84jfwS8SQ-Ue04A,"It's awesome! it takes some getting used to. But after some practice, it's fun and useful.",5,3,2.4.1,2020-03-17 21:47:14,,
